conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
2.0000529087093107e+18,Sun Dec 14 03:59:07 +0000 2025,0.0,Presiden Prabowo tinjau kondisi pengungsi banjir Sumut di MAN 1 Langkat Jule Minggu https://t.co/93XiLMuCq9,,2.0000529087093107e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000052826601652224/pu/img/Jchhb0Gp2z3qjoe3.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052908709310610,3037998600.0,,
2.0000529051022464e+18,Sun Dec 14 03:59:06 +0000 2025,0.0,Capek banget liat tingkah presiden sendiri,,2.0000529051022464e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052905102246374,1.9178947926941e+18,,
2.0000528790220639e+18,Sun Dec 14 03:59:00 +0000 2025,0.0,Soal Pembekuan Bea Cukai Misbakhun: Ikuti Arahan Presiden dan Menkeu Benahi Kinerja Sekarang! #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/qrAqkRZpJ5,,2.0000528790220639e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052879022063972,7.218983545029304e+17,,
1.999605905898472e+18,Sun Dec 14 03:58:26 +0000 2025,0.0,@ainunnajib Jadi untuk pemerintah menaikan status itu harus ada tekanan terlebih dahulu dari rakyat? Terus gunanya wakil rakyat dan presiden yg dipilih langsung oleh rakyat untuk apa?,,2.0000527375145943e+18,,ainunnajib,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052737514594369,267498556.0,,
2.00005248823029e+18,Sun Dec 14 03:57:27 +0000 2025,0.0,Momen haru Presiden berikan handuk baru yg biasa dipakai untuk menurunkan panas seorang anak Jule Minggu https://t.co/aqHE4H2w1M,,2.00005248823029e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000052453841186816/pu/img/ksKMmrKAyCbRJqpG.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052488230289897,3037998600.0,,
2.0000332195890668e+18,Sun Dec 14 03:57:19 +0000 2025,0.0,@utfess Ga apa-apa kak kehidupan berputar. Manatahu kamu jadi wakil presiden ,,2.0000524549695575e+18,,utfess,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052454969557460,8.826160526679613e+17,,
2.0000229324503905e+18,Sun Dec 14 03:56:20 +0000 2025,0.0,@ARSIPAJA Emang bisa kenyang kalo tau dia sudah jenderal skalipun? Atau bisa tidur lelap kalo tau dia sudah letkol? Ga presiden ga wakil ga menteri sama-sama ga ngotak.,,2.0000522098921436e+18,,ARSIPAJA,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052209892143566,1.9236065022979604e+18,,
2.0000521840301059e+18,Sun Dec 14 03:56:14 +0000 2025,0.0,Momen Presiden Prabowo cicipi Gutel khas Gayo di dapur umum Takengon Jule Minggu https://t.co/0aAMHF2vPx,,2.0000521840301059e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000052124596731904/pu/img/lgAEDHNA6MDey4cN.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052184030105737,3037998600.0,,
2.000051843129557e+18,Sun Dec 14 03:55:43 +0000 2025,0.0,Menteri-menteri lu aja pada tolol dan manipulatif ASAL BAPAK SENANG semua. Mau nyelamatin pantat masing-masing. Sehingga Presiden lu jadi ikutan tolol.,,2.000052054870598e+18,,Ijey,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000052054870597862,18133368.0,,
1.9998948905542205e+18,Sun Dec 14 03:55:29 +0000 2025,0.0,@indepenSumatera Bebebebebbebebeeeeee klau rkyt senang era orba takkan mgkin presiden dijatuhkan,,2.000051994690765e+18,,indepenSumatera,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000051994690765054,1.8269904640102523e+18,,
1.9998061355458153e+18,Sun Dec 14 03:49:31 +0000 2025,0.0,@jaheminul @kompascom Berdasarkan kunjungan Presiden Prabowo ke posko banjir di Langkat (Sumut) pada 13 Des 2025 perkenalan Seskab Teddy terjadi saat interaksi dengan pengungsi termasuk kelakar ringan. Logis sebagai bagian protokol resmi untuk tunjukkan tim pemerintah &amp; koordinasi bantuan. Etis jika,,2.0000504922615155e+18,,jaheminul,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050492261515595,1.7206651831889224e+18,,
1.9998003574306614e+18,Sun Dec 14 03:49:29 +0000 2025,0.0,@salam4jari ya kali daerah yang gk kena banjir listriknya ikutan mati. dan pas kunjungan presiden listriknya bisa di idupin trus mati lagi lbih kyak dikondisikan https://t.co/n9JibpZX3t,,2.0000504833152535e+18,https://pbs.twimg.com/media/G8GbT2MbAAE-ZvV.jpg,salam4jari,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050483315253416,1.97849552786944e+18,,
2.0000504271660933e+18,Sun Dec 14 03:49:15 +0000 2025,0.0,Presiden Prabowo ke pengungsi Sumut: Kami tidak akan tinggalkan kalian sendiri Jule Malming Minggu https://t.co/KkJehBU6zN,,2.0000504271660933e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000050389677490176/pu/img/Kp-SjwG9630f21q0.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000050427166093412,3037998600.0,,
